Station Name,File Path,Duration (sec)
BBC World Service,audio_dataset/BBC_World_Service_1741371088.wav,30
NPR News,audio_dataset/NPR_News_1741371121.wav,30
Classical Radio,audio_dataset/Classical_Radio_1741371152.wav,30
BBC World Service,audio_dataset/BBC_World_Service_1741371183.wav,30
NPR News,audio_dataset/NPR_News_1741371214.wav,30
Classical Radio,audio_dataset/Classical_Radio_1741371245.wav,30
BBC World Service,audio_dataset/BBC_World_Service_1741371277.wav,30
NPR News,audio_dataset/NPR_News_1741371309.wav,30
Classical Radio,audio_dataset/Classical_Radio_1741371340.wav,30
BBC World Service,audio_dataset/BBC_World_Service_1741371371.wav,30
Classical Radio,audio_dataset/Classical_Radio_1741371403.wav,30
BBC World Service,audio_dataset/BBC_World_Service_1741371434.wav,30
NPR News,audio_dataset/NPR_News_1741371466.wav,30
Classical Radio,audio_dataset/Classical_Radio_1741371497.wav,30
BBC World Service,audio_dataset/BBC_World_Service_1741371528.wav,30
NPR News,audio_dataset/NPR_News_1741371560.wav,30
Classical Radio,audio_dataset/Classical_Radio_1741371592.wav,30
BBC World Service,audio_dataset/BBC_World_Service_1741371623.wav,30
NPR News,audio_dataset/NPR_News_1741371655.wav,30
Classical Radio,audio_dataset/Classical_Radio_1741371685.wav,30
BBC World Service,audio_dataset/BBC_World_Service_1741371717.wav,30
NPR News,audio_dataset/NPR_News_1741371748.wav,30
Classical Radio,audio_dataset/Classical_Radio_1741371779.wav,30
BBC World Service,audio_dataset/BBC_World_Service_1741371811.wav,30
NPR News,audio_dataset/NPR_News_1741371841.wav,30
Classical Radio,audio_dataset/Classical_Radio_1741371873.wav,30
BBC World Service,audio_dataset/BBC_World_Service_1741371904.wav,30
NPR News,audio_dataset/NPR_News_1741371936.wav,30
Classical Radio,audio_dataset/Classical_Radio_1741371966.wav,30
