Country,Word Count,Sentiment Score,Named Entities
gw,50,0.17161627435064933,Peace
fj,74,0.3178571428571429,"Fiji Shores, Fiji For Fiji, Fiji, Onward, Stand, Fiji Forever, God"
au,71,0.4090909090909091,"Commonwealth, Advance Australia, Nature, Australia, Cross, Australians"
cm,65,0.37045454545454537,"North, Africa, West, Dear Fatherland, East, One day, Hoping, Thou"
pn,63,0.38749999999999996,"Pitcairn Island, today, Our Island"
et,46,0.43779461279461285,"National, Ethiopia"
ml,136,0.12864057239057236,"Together, one, tomorrow, a united Africa, One, Courage, today, Constant, Happiness, Africa, Mali"
ua,45,0.24814814814814815,"Ukraine, Kozak, morning"
ao,81,0.2509356610186688,"Peace Along, one, O Fatherland, One, Fourth, Angola, Africa, Angolan"
tl,42,0.08111111111111112,"Fatherland, East Timor"
pa,65,0.3361305361305362,"Warlike, Columbus, two, Kissed"
vi,108,0.3686734693877551,"Virgin Islands, Uphold, Democratic, Joyously, today, God, Bathed, March"
my,25,0.725,Ruler
ag,83,0.2759469696969697,"Dwell, Barbuda, Fill, Thy, Raise, Strong, Gird"
la,41,0.22142857142857142,"United, Fatherland, Lao"
kp,61,0.3731481481481481,"morning, this Korea, Three thousand, Korea, Mount Paektu, Nest, five millennia, Limitlessly"
gd,29,0.45,"one, Grenada, Aspire, Heads"
mk,37,0.287012987012987,"Macedonians, Today, Macedonia, Goce Delcev, Pitu Guli, Dame Gruev, Macedonian"
mx,113,-0.14314186789772726,"Soak, earth, Union, a thousand, Mexicans, Homeland, Peace For"
ie,34,0.05000000000000001,"Erin, Ireland, Tonight, Shall, Sworn"
gu,40,0.5,"May, Isle of Guam"
im,135,0.1482936507936508,"Mannin, Fatherland, each single hour, Thy Throne, the Lake Galilee, O Island, Dane, Proclaiming the Gospel of Peace, Barrool, Baal, Built, Orry, Heav’n"
md,60,0.2291666666666667,"Wept, Nistru"
ge,25,0.30000000000000004,"Liberty, Today, two"
bg,32,0.4000000000000001,"Pirin, Thrace, Danube, Proud Balkan"
tn,77,0.3275432900432901,"Homeland, Tunisia, Rise, Destiny"
ve,108,0.20222222222222222,"United, Caracas, The supreme Creator Breathed, Raises, Lies, Which, Respecting law"
tz,39,0.0,"Tanzania, God Bless Africa, Africa, Bless Africa, Bless Tanzania, God Bless Tanzania, Bless"
