country_name,cluster_assigned
Anguilla,2
Russian Federation,0
Lithuania,9
Nauru,4
Bulgaria,0
Yemen,9
Curaçao,4
Grenada,6
Estonia,0
"Virgin Islands, British",7
Afghanistan,7
Georgia,4
United Kingdom,7
Isle of Man,0
India,6
Oman,4
Qatar,3
South Africa,6
Timor-Leste,4
"Tanzania, United Republic of",4
Paraguay,4
Ethiopia,2
Fiji,6
"Korea, Democratic People's Republic of",2
Mexico,4
Malaysia,7
Malta,0
"Venezuela, Bolivarian Republic of",5
Bahrain,9
Tajikistan,5
Austria,9
Rwanda,2
Angola,5
Australia,6
Mozambique,6
Niue,6
Western Sahara,4
Tunisia,9
Guam,2
Saint Barthélemy,7
Benin,9
Mauritius,5
Åland Islands,4
Ghana,9
Liechtenstein,5
Algeria,5
Andorra,6
Laos (Lao People's Democratic Republic),9
Haiti,5
Azerbaijan,0
Puerto Rico,2
Lebanon,2
Vietnam,3
Guinea-Bissau,9
Samoa,4
Somalia,9
North Macedonia,1
Mali,0
Malawi,2
Slovakia,5
Montenegro,6
Pitcairn,7
New Zealand,8
Cameroon,9
Panama,5
Kazakhstan,6
Canada,5
Kenya,2
Latvia,0
Sweden,5
Ireland,9
Costa Rica,4
Greenland,4
Uzbekistan,4
Lesotho,5
Portugal,6
Ukraine,0
Sao Tome and Principe,5
Israel,6
Syrian Arab Republic,5
Holy See (Vatican City State),7
Barbados,3
Singapore,5
Dominica,2
Germany,0
Iraq,5
"Korea, Republic of",6
"Moldova, Republic of",8
Italy,0
"Virgin Islands, U.S.",7
Pakistan,9
"Saint Helena, Ascension and Tristan da Cunha",6
Antigua and Barbuda,4
Kyrgyzstan,1
Côte d'Ivoire,0
Zambia,4
Suriname,4
Bangladesh,3
Thailand,5
Gabon,0
