Country,Aspect Ratio,Dominant Color 1,Dominant Color 2,Edge Count,Symmetry Score
ec,1.5,#f599,#0e52,2466,0.94
sk,1.5,#fefd,#9130,1526,0.97
lk,2.0,#6725,#f9ae,3232,0.9
ht,1.67,#d21d,#0021,1152,0.97
pk,1.5,#0141,#fefe,880,0.97
tz,1.5,#37b1,#0000,1700,0.95
pr,1.5,#83a8,#ed00,1683,0.96
mz,1.5,#0140,#ec9b,2340,0.95
lb,1.5,#d12c,#fcfd,1656,0.97
io,2.0,#f9f9,#2a28,6030,0.79
at,1.5,#c80f,#fffe,640,1.0
dm,2.0,#1855,#fce2,2176,0.95
so,1.5,#4189,#fdfd,405,0.99
vn,1.5,#da25,#fefc,512,0.98
gp,1.5,#0112,#f5d7,4226,0.89
om,2.0,#fefc,#9e37,954,0.97
mw,1.5,#7709,#339d,2169,0.96
de,1.67,#ed66,#0000,640,1.0
ml,1.5,#e470,#14b5,426,0.99
ca,2.0,#fffe,#ff00,950,0.98
va,1.0,#f8e8,#fbfb,3787,0.93
il,1.37,#0038,#fcfd,2044,0.98
gs,2.0,#f3ed,#1d23,4042,0.85
cr,1.67,#671f,#fdfd,1968,0.98
gl,1.5,#c811,#fefe,831,0.98
ws,2.0,#012c,#ce13,526,0.98
st,2.0,#f9a3,#028e,1270,0.97
gw,2.0,#fcd1,#6257,578,0.98
kr,1.5,#fefe,#4329,2602,0.93
za,1.5,#fde8,#3a42,2100,0.94
ee,1.57,#ffff,#0039,640,1.0
bl,1.5,#9272,#fbfa,6037,0.85
ai,2.0,#f5eb,#1820,2714,0.9
mx,1.75,#0467,#e27f,1733,0.94
qa,2.54,#8a15,#fefe,330,0.98
bb,1.5,#fdc5,#0024,1009,0.97
af,1.5,#d758,#013d,6416,0.81
nu,2.0,#fbfa,#e4bc,2190,0.91
eh,2.0,#2d32,#fbfb,1133,0.97
gh,1.5,#e36d,#0063,944,0.99
gb-wls,1.67,#5d5f,#fdfd,6097,0.82
gd,1.67,#e164,#017a,2438,0.93
mt,1.5,#fdfd,#ce14,834,0.98
sh,2.0,#e8de,#1722,2628,0.9
bg,1.67,#6b5d,#fffe,640,1.0
gu,1.86,#0530,#c02c,2060,0.95
ci,1.5,#ffff,#7b8e,426,0.99
yt,1.5,#faf9,#7738,5849,0.84
cc,2.0,#0180,#f7dc,1294,0.95
sg,1.5,#ed2a,#fefe,928,0.98
tl,2.0,#dd3c,#0101,1021,0.96
gb-eng,1.67,#fefd,#c80f,868,0.99
mu,1.5,#f27e,#0d62,960,1.0
cm,1.5,#e574,#0079,639,0.98
nr,2.0,#0121,#f5cb,954,0.99
kp,2.0,#fefc,#9630,1808,0.98
ua,1.5,#005b,#fdd4,320,1.0
wf,1.5,#c212,#fefc,1135,0.97
py,1.82,#e892,#0139,1292,0.98
nz,2.0,#f9f6,#1720,2290,0.91
et,2.0,#0b73,#e86e,1764,0.94
ax,1.53,#ee7d,#0064,1768,0.98
pt,1.5,#0265,#f918,2239,0.93
mq,1.5,#1162,#ee19,691,0.98
ao,1.5,#cf19,#0100,1310,0.97
ie,2.0,#fec3,#169b,320,0.99
bd,1.67,#0069,#f22a,474,0.98
gb,2.0,#fbfa,#7318,3562,0.89
my,2.0,#8211,#fefc,3875,0.93
me,2.0,#e206,#e0a9,2914,0.91
ms,2.0,#f6f4,#1b29,2886,0.89
bj,1.5,#0086,#f170,404,0.99
ke,1.5,#3e21,#faf0,2332,0.96
vg,2.0,#f3e8,#1a25,3755,0.86
aq,1.5,#009e,#fdfe,874,0.97
au,2.0,#f9f8,#1a1e,2441,0.91
ge,1.5,#fffd,#ff02,1614,0.97
im,2.0,#cd15,#ebeb,1023,0.96
it,1.5,#fefe,#675e,426,0.99
se,1.6,#fecb,#0069,876,0.99
dz,1.5,#175c,#fefe,940,0.97
iq,1.5,#e383,#0007,1350,0.98
zm,1.5,#177c,#e151,1191,0.97
ga,1.33,#1d89,#fcd1,640,1.0
li,1.67,#cd19,#002a,1152,0.97
tj,2.0,#fefe,#6936,1248,0.98
lv,2.0,#9c21,#ffff,640,1.0
pa,1.5,#fefd,#701b,975,0.98
cw,1.5,#002b,#f4e6,957,0.99
